المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
Company name, Telephone, Fax, Email
Lebanese Co. For Trade & Industry - Refrigerators Factory - Limatic, 0112651641, 0112651640, mhdmob3@hotmail.com
Modern factory for heaters, 0114486898, 0114469756, m.aldosary@aljazierah.com
Modern factory for heaters, 0114486898, 0114469756, m.aldosary@aljazierah.com
Modern factory for heaters, 0114486898, 0114469756, m.aldosary@aljazierah.com
Saudi Factory for Metal Galvanization, 0138121224, 0138481111, admins@shuwayer.com
Saudi Pump Factory, 0112651071, 012651071, mail@saudi-pump.com
Arab Manufacturing Industries, 0138121115, 0138121243, space_itc@yahoo.com
Saud Abdullah Al Ghassab Metal Paints , 0165433844, 0165432052, alghassabest@yahoo.com
Ahmed Garmallah Al Ghamdi & Bros. Paper Products Co, 0138503256, 0138565772, alghannamga@aggcom.net
Al - Shaheen Metal Industries Co , 0112656565, 0112651526, ahmed@alshahin.com
Al - Shaheen Metal Industries Co , 0112656565, 0112651526, ahmed@alshahin.com
Saudi Factory For Perfumes & Cosmetics Ltd. , 0126379093, 026379093, shawgi@mscc.com.sa
Saudi Factory For Perfumes & Cosmetics Ltd. , 0126379093, 026379093, shawgi@mscc.com.sa
Packaging materials manufacturer - FIPCO, 0112652299, 0112651275, hammad@fipco.com.sa
Packaging materials manufacturer - FIPCO, 0112652299, 0112651275, hammad@fipco.com.sa
Future Pipe Industry Co. Ltd. , 0138123454, 0138123453, o.abouibrahim@futurepipe.com
Matito Chemical Industries , 0114787001, 0114794250, abdullah.hijazi@veoliawata.com
Aljilani & Radwan Plastic Factory Co , 0126360663, 0126379792, jilaniplastic@yahoo.com
Aljilani & Radwan Plastic Factory Co , 0126360663, 0126379792, jilaniplastic@yahoo.com
Saudi Cartoon Factory Company , 0126368789, 026368789, info@ucic.com.sa
Mohammed Habbas Al Mutairi Furniture & Curtains, 0138121777, 0138123645, info@thegallery.com.sa
Mohammed Habbas Al Mutairi Furniture & Curtains, 0138121777, 0138123645, info@thegallery.com.sa
Jeddah Printing Center (Saudi Packaging Printing Paper and Plastic Company), 0126886240, 026886240, postmaster@jgcsa.com
Hamza Khashim & Mohamed Gamal Factories, 0138473808, 0138473276, hkmj@atheer.net.sa
Hamza Khashim & Mohamed Gamal Factories, 0138473808, 0138473276, hkmj@atheer.net.sa
Ibrahim Al - Manea Factory For Aluminum & Glass Products, 0112650065, 0112650903, info@almanco.com
Quality Factory For Electrical Heaters , 0112650228, 0112650158, info@aljawdahgroup.com
Quality Factory For Electrical Heaters , 0112650228, 0112650158, info@aljawdahgroup.com
Al-Kharaf Factory for Re-engineering and Production of Spare Parts , 0138588090, 0138578569, aalghtani@alkhorayef.com
Al Gharbia Plastic Factory , 0126081931, 026081931, algarbiaplastic@yahoo.com
Al Gharbia Plastic Factory , 0126081931, 026081931, algarbiaplastic@yahoo.com
Al - Matherood Foodstuff Factory , 0138560000, 0138561906, ndp@almatrood.com.sa
Riyadh Oxygen Factory , 0114485070, 0114468319, hdjh@h.com
Perfume Gate Factory , 0114989197, 0112033801, a33ha3@htmail.com.com
Advertising & Art Development Factory , 0172243932, 072243932, tatweer_@hotmail.com
Nada granules factory for plastic products , 0114237111, 0114237111, a00099000@gmail.com
Hawa Electrical Distribution Panels Factory, 0138472061, 0138472533, info@hawaepbf.com
Shami Food Factory, 0126081717, 026081717, info@shamifactory.com
Factory of horizons of iron products  , 0138584225, 0135816323, raedfahad2010@hotmail.com
Sang Li Plastic Factory , 0112415224, 0112703127, sanglee@sangleestainless.com
GALIA FOOD INDUSTRIES FACTORY , 0138334551, 0138325275, al_asmaryimam@yahoo.com
Factory of Noralmasa , 0114998880, 0114997779, mmayyassi@nmsign.com.sa
Factory of Noralmasa , 0114998880, 0114997779, mmayyassi@nmsign.com.sa
Factory of Noralmasa , 0114998880, 0114997779, mmayyassi@nmsign.com.sa
Yacoub Yousef Al Nujaidi Glass Factory, 0138120303, 0138120707, hussain@nujaidiglass.com
Yacoub Yousef Al Nujaidi Glass Factory, 0138120303, 0138120707, hussain@nujaidiglass.com
Gulf Krajoo Industrial Gas Company Limited , 0138126915, 0138126920, gcsaudi@gulfcryo.com
Saudi Mechanical Industries Company, 0112651979, 0112651494, shadi@smi.com.sa
Abdullah Abdul Aziz Al Rajhi Rubber Factory, 0138181505, 0138181510, gamaly6@yooh.com
Abdullah Abdul Aziz Al Rajhi Rubber Factory, 0138181505, 0138181510, gamaly6@yooh.com
ARASCO Chemical Industries, 0138123451, 0138123133, archem@arasco.com
ARASCO Chemical Industries, 0138123451, 0138123133, archem@arasco.com
Innovation for packaging and printing, 0138471878, 0138471878, mohsen@alilalpainhng.com
Mail, 0126473555, 026473555, mnqurashi@sp.com.sa
Bashir, 0135891999, 0135887616, info@albushaier.com
Arab Chamber of Industry, 0126081410, 026081410, arabcircl@yahoo.com
Al-Rashed Authing, 0114981222, 0112792448, ahmed@alrashidabetong.com
Al-Rashed Authing, 0114981222, 0112792448, ahmed@alrashidabetong.com
Al-Rashed Authing, 0114981222, 0112792448, ahmed@alrashidabetong.com
Al-Rashed Authing, 0114981222, 0112792448, ahmed@alrashidabetong.com
Al-Rashed for stabilizers and engineering services, 0138873392, 0138873401, mohamek.noor@alrashedsreel.com
The main company for tapes and adhesives , 0126354388, 026354388, info@al-asassiyah.com
The main company for tapes and adhesives , 0126354388, 026354388, info@al-asassiyah.com
First Economic Company for Food Products, 0112654777, 0112655416, ssm@first-economic.com
Emirates Metal Industries Company, 0138121017, 0138121935, kpria6-6@hotmail.com
Emirates Metal Industries Company, 0138121017, 0138121935, kpria6-6@hotmail.com
Emirates Metal Industries Company, 0138121017, 0138121935, kpria6-6@hotmail.com
First Company for Nutrition and Packaging, 0126080563, 026080563, osama.alparoon@live.com
Al Ahlia Metal Trading & Smelting Company, 0122904958, 0122884425, behaisi@yahoo.com
Al Ahlia Metal Trading & Smelting Company, 0122904958, 0122884425, behaisi@yahoo.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
Modern Foodstuff Company, 0126362523, 026362523, fahad.wajeeh@almarai.com
Modern Building Chemicals Company, 0126080343, 026080343, OMAR00015@HOTMAIL.COM
Modern Building Chemicals Company , 0126080343, 026080343, hab888@yahoo.com
Gulf Packaging Systems Company, 0126360099, 0126080506, hr1@gulf-pack.com
