,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
0,Company name, Telephone, Fax, Email
1,Lebanese Co. For Trade & Industry - Refrigerators Factory - Limatic, 0112651641, 0112651640, mhdmob3@hotmail.com
2,Modern factory for heaters, 0114486898, 0114469756, m.aldosary@aljazierah.com
5,Saudi Factory for Metal Galvanization, 0138121224, 0138481111, admins@shuwayer.com
6,Saudi Pump Factory, 0112651071, 012651071, mail@saudi-pump.com
7,Arab Manufacturing Industries, 0138121115, 0138121243, space_itc@yahoo.com
8,Saud Abdullah Al Ghassab Metal Paints , 0165433844, 0165432052, alghassabest@yahoo.com
9,Ahmed Garmallah Al Ghamdi & Bros. Paper Products Co, 0138503256, 0138565772, alghannamga@aggcom.net
10,Al - Shaheen Metal Industries Co , 0112656565, 0112651526, ahmed@alshahin.com
12,Saudi Factory For Perfumes & Cosmetics Ltd. , 0126379093, 026379093, shawgi@mscc.com.sa
14,Packaging materials manufacturer - FIPCO, 0112652299, 0112651275, hammad@fipco.com.sa
16,Future Pipe Industry Co. Ltd. , 0138123454, 0138123453, o.abouibrahim@futurepipe.com
17,Matito Chemical Industries , 0114787001, 0114794250, abdullah.hijazi@veoliawata.com
18,Aljilani & Radwan Plastic Factory Co , 0126360663, 0126379792, jilaniplastic@yahoo.com
20,Saudi Cartoon Factory Company , 0126368789, 026368789, info@ucic.com.sa
21,Mohammed Habbas Al Mutairi Furniture & Curtains, 0138121777, 0138123645, info@thegallery.com.sa
23,Jeddah Printing Center (Saudi Packaging Printing Paper and Plastic Company), 0126886240, 026886240, postmaster@jgcsa.com
24,Hamza Khashim & Mohamed Gamal Factories, 0138473808, 0138473276, hkmj@atheer.net.sa
26,Ibrahim Al - Manea Factory For Aluminum & Glass Products, 0112650065, 0112650903, info@almanco.com
27,Quality Factory For Electrical Heaters , 0112650228, 0112650158, info@aljawdahgroup.com
29,Al-Kharaf Factory for Re-engineering and Production of Spare Parts , 0138588090, 0138578569, aalghtani@alkhorayef.com
30,Al Gharbia Plastic Factory , 0126081931, 026081931, algarbiaplastic@yahoo.com
32,Al - Matherood Foodstuff Factory , 0138560000, 0138561906, ndp@almatrood.com.sa
33,Riyadh Oxygen Factory , 0114485070, 0114468319, hdjh@h.com
34,Perfume Gate Factory , 0114989197, 0112033801, a33ha3@htmail.com.com
35,Advertising & Art Development Factory , 0172243932, 072243932, tatweer_@hotmail.com
36,Nada granules factory for plastic products , 0114237111, 0114237111, a00099000@gmail.com
37,Hawa Electrical Distribution Panels Factory, 0138472061, 0138472533, info@hawaepbf.com
38,Shami Food Factory, 0126081717, 026081717, info@shamifactory.com
39,Factory of horizons of iron products  , 0138584225, 0135816323, raedfahad2010@hotmail.com
40,Sang Li Plastic Factory , 0112415224, 0112703127, sanglee@sangleestainless.com
41,GALIA FOOD INDUSTRIES FACTORY , 0138334551, 0138325275, al_asmaryimam@yahoo.com
42,Factory of Noralmasa , 0114998880, 0114997779, mmayyassi@nmsign.com.sa
45,Yacoub Yousef Al Nujaidi Glass Factory, 0138120303, 0138120707, hussain@nujaidiglass.com
47,Gulf Krajoo Industrial Gas Company Limited , 0138126915, 0138126920, gcsaudi@gulfcryo.com
48,Saudi Mechanical Industries Company, 0112651979, 0112651494, shadi@smi.com.sa
49,Abdullah Abdul Aziz Al Rajhi Rubber Factory, 0138181505, 0138181510, gamaly6@yooh.com
51,ARASCO Chemical Industries, 0138123451, 0138123133, archem@arasco.com
53,Innovation for packaging and printing, 0138471878, 0138471878, mohsen@alilalpainhng.com
54,Mail, 0126473555, 026473555, mnqurashi@sp.com.sa
55,Bashir, 0135891999, 0135887616, info@albushaier.com
56,Arab Chamber of Industry, 0126081410, 026081410, arabcircl@yahoo.com
57,Al-Rashed Authing, 0114981222, 0112792448, ahmed@alrashidabetong.com
61,Al-Rashed for stabilizers and engineering services, 0138873392, 0138873401, mohamek.noor@alrashedsreel.com
62,The main company for tapes and adhesives , 0126354388, 026354388, info@al-asassiyah.com
64,First Economic Company for Food Products, 0112654777, 0112655416, ssm@first-economic.com
65,Emirates Metal Industries Company, 0138121017, 0138121935, kpria6-6@hotmail.com
68,First Company for Nutrition and Packaging, 0126080563, 026080563, osama.alparoon@live.com
69,Al Ahlia Metal Trading & Smelting Company, 0122904958, 0122884425, behaisi@yahoo.com
71,Al Ahlia Food Industries Co. (Americana), 0126354525, 0126354525, farag@americanameat.com
79,Modern Foodstuff Company, 0126362523, 026362523, fahad.wajeeh@almarai.com
80,Modern Building Chemicals Company, 0126080343, 026080343, OMAR00015@HOTMAIL.COM
81,Modern Building Chemicals Company , 0126080343, 026080343, hab888@yahoo.com
82,Gulf Packaging Systems Company, 0126360099, 0126080506, hr1@gulf-pack.com
87,Gulf Salt Industries Company, 0138122258, 0138122259, squntar@gulfsalt.com
88,International Water Distribution Company Limited, 0163220028, 063220028, rgelaish@tawzea.com
89,International Company for Food Industries, 0126484119, 026484119, agadalla@savola.com
90,International Refreshments Co. Ltd, 0112018888, 0112011188, saad.saqeralenazy@pepsico.com
91,Rapid International Petrochemical Company Limited, 0126371175, 026371175, abdulrahman@dadcoltd.com
92,Saudi Jordanian Engineering Industries Company, 0114982009, 0114983415, tsajco@hotmail.com
93,Saudi German Co. For Ballasts Industry , 0126080766, 026080766, info@sgbrake.com
94,Saudi American Company Limited, 0114982312, 0114982316, infosaclf@yahoo.com
95,Saudi American Company Limited, 0114982312, 0114982316, sac20101@hotmail.com
96,Saudi German Co. for Non-Quarantined Products, 0138122111, 0138121333, mamageed@sgn.com.sa
97,Saudi German Aluminum Products Co. (SABKCO), 0126356222, 0126081752, monther@sgapco.com
